A,200015,B,11,1003
A,200016,S,13,1004
A,200017,S,8,1009
A,200018,B,2,1003
A,200019,B,19,1007
A,200020,B,14,1005
A,200021,B,8,1005
A,200022,S,19,1003
A,200023,S,10,1005
A,200024,S,8,1003
A,200025,B,1,1010
A,200026,S,6,1005
A,200027,S,8,1003
A,200028,B,6,1002
A,200029,B,4,1008
A,200030,S,9,1001
A,200031,B,1,1000
A,200032,B,13,1007
A,200033,B,11,1006
A,200034,S,5,1000
A,200035,S,9,1007
A,200036,B,18,1004
A,200037,B,15,1000
A,200038,S,8,1001
A,200039,B,11,1005
A,200040,B,3,1002
A,200041,B,16,1001
A,200042,S,9,1009
A,200043,S,11,1004
A,200044,B,8,1001
A,200045,B,16,1001
A,200046,S,4,1001
A,200047,B,1,1004
A,200048,B,10,1003
A,200049,S,2,1009
A,200050,B,15,1004
A,200051,S,6,1005
A,200052,B,12,1006
A,200053,B,6,1003
A,200054,S,9,1003
A,200055,B,5,1002
A,200056,B,11,1001
A,200057,S,13,1007
A,200058,S,9,1005
A,200059,B,11,1006
A,200060,S,12,1004
A,200061,S,17,1010
A,200062,S,14,1006
A,200063,B,15,1001
A,200064,S,6,1009
A,200065,S,3,1005
A,200066,B,10,1003
A,200067,B,3,1001
A,200068,B,9,1008
A,200069,B,15,1003
A,200070,B,18,1004
A,200071,S,18,1003
A,200072,B,13,1001
A,200073,B,1,1004
A,200074,S,5,1007
A,200075,B,2,1003
A,200076,S,4,1008
A,200077,B,8,1003
A,200078,B,4,1007
A,200079,S,16,1008
A,200080,S,5,1001
A,200081,B,1,1004
A,200082,S,17,1008
A,200083,S,2,1003
A,200084,S,7,1006
A,200085,S,7,1004
A,200086,S,13,1001
A,200087,S,16,1004
A,200088,S,11,1008
A,200089,S,12,1004
A,200090,S,0,1004
A,200091,B,17,1003
A,200092,S,8,1001
A,200093,S,2,1007
A,200094,B,8,1006
A,200095,B,10,1004
A,200096,S,9,1000
A,200097,S,1,1002
A,200098,B,10,1002
A,200099,S,11,1010
A,200100,S,20,1006
A,200101,S,17,1010
A,200102,B,5,1002
A,200103,B,16,1008
A,200104,B,1,1005
A,200105,B,10,1001
A,200106,B,14,1001
A,200107,S,7,1005
A,200108,B,14,1004
A,200109,S,14,1004
A,200110,B,14,1004
A,200111,S,12,1008
A,200112,S,16,1002
A,200113,S,9,1010
A,200114,B,6,1007
A,200115,B,17,1010
A,200116,B,15,1006
A,200117,S,6,1005
A,200118,S,17,1004
A,200119,S,11,1008
A,200120,B,1,1006
A,200121,B,7,1006
A,200122,S,15,1003
A,200123,B,16,1010
A,200124,B,2,1001
A,200125,B,2,1003
A,200126,S,12,1008
A,200127,S,4,1008
A,200128,S,1,1003
A,200129,S,20,1001
A,200130,S,9,1007
A,200131,B,16,1007
A,200132,B,14,1004
A,200133,S,5,1002
A,200134,B,10,1001
A,200135,S,3,1003
A,200136,B,20,1005
A,200137,B,17,1001
A,200138,S,16,1005
A,200139,B,3,1005
A,200140,B,4,1006
A,200141,S,19,1001
A,200142,S,10,1005
A,200143,B,2,1003
A,200144,B,14,1003
A,200145,B,8,1009
A,200146,B,1,1003
A,200147,B,16,1007
A,200148,S,17,1005
A,200149,B,18,1010
A,200150,B,3,1000
A,200151,S,4,1001
A,200152,S,16,1001
A,200153,S,7,1003
A,200154,B,9,1006
A,200155,B,18,1001
A,200156,S,8,1007
A,200157,B,9,1001
A,200158,S,10,1003
A,200159,B,4,1008
A,200160,S,19,1001
A,200161,B,17,1006
A,200162,B,2,1005
A,200163,S,9,1003
A,200164,B,10,1009
A,200165,B,17,1001
A,200166,B,17,1002
A,200167,S,12,1004
A,200168,S,12,1007
A,200169,B,7,1008
A,200170,S,4,1010
A,200171,B,13,1001
A,200172,S,15,1008
A,200173,B,20,1009
A,200174,S,11,1004
A,200175,B,2,1007
A,200176,S,12,1009
A,200177,B,10,1002
A,200178,S,13,1000
A,200179,S,3,1009
A,200180,S,9,1004
